,inflation,unemployment,ffr,Romer Romer quarterly
1969-01-01,0.425639123,3.4,6.57,-0.0817
1969-04-01,0.554957154,3.4,8.33,0.1963
1969-07-01,0.529733371,3.6,8.98,0.173
1969-10-01,0.501335281,3.6,8.94,0.0493
1970-01-01,0.501550918,4.2,8.56,-0.22
1970-04-01,0.478213859,4.8,7.88,-0.0083
1970-07-01,0.42070294,5.2,6.71,-0.3327
1970-10-01,0.558499115,5.8,5.57,-0.1947
1971-01-01,0.409472253,5.9,3.86,-0.2573
1971-04-01,0.49194745,5.9,4.57,0.269
1971-07-01,0.423377759,6,5.48,-0.039
1971-10-01,0.268295167,5.9,4.75,-0.528
1972-01-01,0.455070209,5.8,3.55,-0.0227
1972-04-01,0.251174744,5.7,4.3,-0.0897
1972-07-01,0.381255743,5.6,4.74,0
1972-10-01,0.354747465,5.4,5.15,0.003
1973-01-01,0.524983591,4.9,6.54,0.1893
1973-04-01,0.82941461,4.9,7.82,0.221
1973-07-01,0.786703045,4.8,10.56,-0.046
1973-10-01,0.882691489,4.8,10,-0.3693
1974-01-01,1.272700838,5.1,9.33,0.2427
1974-04-01,1.212893642,5.2,11.25,0.353
1974-07-01,1.155457261,5.6,12.1,-0.181
1974-10-01,1.086718607,6.6,9.34,-0.059
1975-01-01,0.807448984,8.3,6.31,-0.2033
1975-04-01,0.527183063,8.9,5.42,-0.1103
1975-07-01,0.804550901,8.5,6.16,-0.06
1975-10-01,0.722889678,8.3,5.41,-0.067
1976-01-01,0.47947365,7.7,4.83,-0.2663
1976-04-01,0.363359359,7.6,5.2,-0.0657
1976-07-01,0.654314119,7.7,5.28,-0.0547
1976-10-01,0.680503719,7.8,4.87,-0.0473
1977-01-01,0.777193153,7.5,4.66,-0.1367
1977-04-01,0.736581719,7.1,5.16,-0.082
1977-07-01,0.651017574,6.9,5.82,-0.0457
1977-10-01,0.616476117,6.7,6.51,-0.0653
1978-01-01,0.715896426,6.3,6.76,-0.019
1978-04-01,0.886098295,6,7.28,-0.014
1978-07-01,0.757530356,6,8.09,-0.1207
1978-10-01,0.814128609,5.9,9.58,0.0863
1979-01-01,0.80824801,5.9,10.07,-0.0063
1979-04-01,1.168243652,5.7,10.18,0.0137
1979-07-01,1.063149283,5.9,10.94,0.2863
1979-10-01,1.036689157,6,13.58,0.015
1980-01-01,1.281725077,6.3,15.07,0.536
1980-04-01,1.049445533,7.3,12.67,-1.3283
1980-07-01,1.002216894,7.7,9.82,0.3253
1980-10-01,1.059778221,7.4,15.85,0.8183
1981-01-01,1.062454962,7.4,16.6,-0.1587
1981-04-01,0.71884993,7.4,17.79,0.505
1981-07-01,0.705344056,7.4,17.59,-0.2173
1981-10-01,0.655062278,8.2,13.59,-0.2767
1982-01-01,0.546466963,8.8,14.21,0.1953
1982-04-01,0.411458307,9.4,14.51,-0.0187
1982-07-01,0.677502629,9.9,11.01,-0.1357
1982-10-01,0.479109187,10.7,9.28,0.178
1983-01-01,0.372650059,10.4,8.66,0.11
1983-04-01,0.39853754,10.1,8.8,-0.0063
1983-07-01,0.568920468,9.4,9.46,-0.0807
1983-10-01,0.288199936,8.5,9.43,0.109
1984-01-01,0.467000868,7.9,9.69,0.052
1984-04-01,0.421391765,7.4,10.55,0.0577
1984-07-01,0.335934538,7.4,11.39,0.0887
1984-10-01,0.269719602,7.3,9.26,-0.2183
1985-01-01,0.516600001,7.2,8.48,0.0143
1985-04-01,0.364393122,7.3,7.92,-0.0347
1985-07-01,0.344549028,7.2,7.9,0.082
1985-10-01,0.297830955,7,8.1,0.0187
1986-01-01,0.310125216,7,7.83,-0.0367
1986-04-01,-0.051282456,7.2,6.92,0.0943
1986-07-01,0.220536671,7,6.21,-0.1337
1986-10-01,0.258995047,6.8,6.27,-0.0203
1987-01-01,0.461743351,6.6,6.22,0.1223
1987-04-01,0.411559092,6.3,6.65,0.0793
1987-07-01,0.405521619,6,6.84,-0.0697
1987-10-01,0.379506846,5.8,6.92,-0.0883
1988-01-01,0.335607335,5.7,6.67,-0.0687
1988-04-01,0.477099573,5.5,7.15,0.1653
1988-07-01,0.53185158,5.5,7.98,-0.083
1988-10-01,0.433116539,5.3,8.47,0.1457
1989-01-01,0.484108689,5.2,9.45,0.1193
1989-04-01,0.575107276,5.2,9.73,0.051
1989-07-01,0.246934273,5.2,9.08,-0.0213
1989-10-01,0.339250029,5.4,8.61,-0.0153
1990-01-01,0.615703591,5.3,8.25,0.073
1990-04-01,0.389025154,5.3,8.24,0.0147
1990-07-01,0.54217809,5.7,8.16,0.028
1990-10-01,0.565857788,6.1,7.74,-0.0987
1991-01-01,0.214479307,6.6,6.43,-0.008
1991-04-01,0.229702959,6.8,5.86,0.0873
1991-07-01,0.292581331,6.9,5.65,0.021
1991-10-01,0.309764713,7.1,4.82,-0.0143
1992-01-01,0.265869035,7.4,4.02,-0.0433
1992-04-01,0.286809381,7.6,3.77,0.0493
1992-07-01,0.275843755,7.6,3.26,-0.0303
1992-10-01,0.30478625,7.4,3.03,-0.147
1993-01-01,0.257845492,7.1,3.04,0.0103
1993-04-01,0.291969785,7.1,3,0.1117
1993-07-01,0.189620083,6.8,3.06,0.0707
1993-10-01,0.248214433,6.6,2.99,-0.0833
1994-01-01,0.153757649,6.6,3.21,0.179
1994-04-01,0.24127371,6.2,3.94,0.0957
1994-07-01,0.308830869,6,4.49,0.176
1994-10-01,0.203714324,5.6,5.17,0.1003
1995-01-01,0.207920467,5.5,5.8,0.2473
1995-04-01,0.24455127,5.7,6.02,0.0697
1995-07-01,0.174002343,5.7,5.8,-0.024
1995-10-01,0.190261786,5.6,5.72,-0.0397
1996-01-01,0.242842013,5.5,5.37,0.043
1996-04-01,0.285610553,5.5,5.24,-0.009
1996-07-01,0.185478389,5.3,5.31,-0.049
1996-10-01,0.293029754,5.3,5.28,0.0063